renda,divida,score,tempo_emprego,idade,classe
0.93114,1,0.745,0.13125,0.36,ruim
0.74036,1,0.815,0.3875,0.52,ruim
0.0311,0.06147,0.957,0.010416666666667,0.42,bom
0.45368,0.991985,0.132,0.3,0.47,ruim
0.99712,1,0.415,0.13541666666667,0.38,ruim
0.72196,0.030575,0.466,0.21666666666667,0.65,bom
0.31518,0.14594,0.879,0.035416666666667,0.42,bom
0.78224,1,0.139,0.75,0.52,ruim
0.05186,0.10754,0.249,0.32291666666667,0.56,bom
0.55526,1,0.767,0.1125,0.68,ruim
0.3815,0.75121,0.664,0.20625,0.28,ruim
0.24958,0.576415,0.423,0.12083333333333,0.28,ruim
0.7192,1,0.196,0.39791666666667,0.46,ruim
0.4987,0.37131,0.978,0.85208333333333,0.67,bom
0.55966,0.026185,0.173,0.045833333333333,0.2,ruim
0.73186,0.252905,0.463,0.17916666666667,0.3,bom
0.12912,0.05896,0.927,0,0.29,bom
0.4545,0.584965,0.868,0.4875,0.38,bom
0.78846,0.989305,0.72,0.36458333333333,0.43,bom
0.49362,0.95318,0.533,0.125,0.35,ruim
0.45676,1,0.107,0.0125,0.66,ruim
0.97816,0.66656,0.706,0.44791666666667,0.51,bom
0.06918,0.0081,0.687,0.010416666666667,0.22,bom
0.20004,0.19098,0.274,0.16458333333333,0.57,ruim
0.6947,0.645555,0.108,0.25833333333333,0.69,ruim
0.75312,0.615315,0.659,0.72916666666667,0.55,bom
0.33922,0.62114,0.353,0.45,0.69,ruim
0.82422,0.46324,0.789,0.21875,0.27,bom
0.06458,0.151885,0.795,0.35,0.42,bom
0.19232,0.06889,0.908,0.11666666666667,0.24,bom
0.31318,0.288235,0.205,0.77291666666667,0.58,bom
0.50124,0.92668,0.826,0.15,0.42,bom
0.71362,0.20203,0.413,0.11666666666667,0.28,bom
0.94308,0.444325,0.804,0.11041666666667,0.41,bom
0.41812,0.08297,0.484,0.53541666666667,0.66,bom
0.91448,1,0.624,0.19583333333333,0.35,ruim
0.06046,0.141595,0.147,0.36041666666667,0.33,ruim
0.13742,0.145795,0.379,0.0083333333333333,0.2,ruim
0.7908,0.890605,0.837,0.42291666666667,0.61,bom
0.9287,0.696235,0.928,0.85208333333333,0.54,bom
0.75856,0.49171,0.602,0.98541666666667,0.61,bom
0.0409,0.1002,0.572,0.28541666666667,0.31,bom
0.95086,1,0.386,0.48541666666667,0.47,ruim
0.9833,0.128085,0.171,0.047916666666667,0.35,bom
0.94758,1,0.796,0.69375,0.54,ruim
0.50934,0.50518,0.945,0.99583333333333,0.65,bom
0.79898,1,0.462,0.51458333333333,0.41,ruim
0.45174,0.73262,0.256,0.35625,0.56,ruim
0.95286,0.547205,0.518,0.4375,0.39,bom
0.4039,0.36141,0.76,0.42083333333333,0.7,bom
0.9,0.324285,0.126,0.16041666666667,0.67,ruim
0.2193,0.034145,0.166,0.95,0.7,bom
0.0762,0.008545,0.99,0.69166666666667,0.68,bom
0.87662,0.542415,0.486,0.45416666666667,0.61,bom
0.5827,1,0.488,0.077083333333333,0.29,ruim
0.16128,0.33801,0.935,0.085416666666667,0.31,bom
0.90828,1,0.455,0.2125,0.29,ruim
0.7507,0.151795,0.928,0.060416666666667,0.26,bom
0.51378,0.147485,0.543,0.92083333333333,0.67,bom
0.1653,0.301065,0.475,0.0083333333333333,0.22,ruim
0.26306,0.19275,0.366,0.17083333333333,0.55,bom
0.30334,0.699,0.653,0.10625,0.39,ruim
0.14102,0.29896,0.442,0.097916666666667,0.27,ruim
0.81954,0.13482,0.578,0.06875,0.25,bom
0.37584,0.490775,0.543,0.014583333333333,0.29,ruim
0.15838,0.12485,0.987,0.83333333333333,0.56,bom
0.25434,0.476865,0.227,0.86875,0.65,bom
0.42826,0.31104,0.939,0.36875,0.45,bom
0.42188,0.14805,0.433,0.6,0.59,bom
0.84236,1,0.377,0.40208333333333,0.53,ruim
0.15018,0.192795,0.586,0.27708333333333,0.31,bom
0.85376,0.18124,0.538,0.11875,0.31,bom
0.4107,0.24025,0.57,0.29375,0.37,bom
0.3772,0.82432,0.51,0.62083333333333,0.43,bom
0.81448,1,0.122,0.55208333333333,0.43,ruim
0.2798,0.356555,0.712,0.19375,0.45,bom
0.58248,0.626165,0.307,0.047916666666667,0.23,ruim
0.42102,0.108445,0.126,0.11458333333333,0.31,ruim
0.4211,0.845645,0.144,0.0041666666666667,0.31,ruim
0.21266,0.38525,0.547,0.0625,0.44,ruim
0.97796,1,0.345,0.70833333333333,0.49,ruim
0.3486,0.264325,0.408,0.20625,0.69,bom
0.64156,1,0.431,0.66041666666667,0.54,ruim
0.5113,0.030995,0.742,0.95208333333333,0.58,bom
0.7454,0.173,0.723,0.23541666666667,0.33,bom
0.25574,0.536215,0.34,0.51041666666667,0.5,bom
0.96944,0.28367,0.437,0.04375,0.2,bom
0.37326,0.26021,0.716,0.022916666666667,0.21,bom
0.46758,0.73245,0.191,0.20208333333333,0.3,ruim
0.37316,0.718215,0.289,0.19166666666667,0.26,ruim
0.92148,1,0.579,0.6,0.5,ruim
0.65194,0.42,0.687,0.4,0.48,bom
0.4795,0.05953,0.706,0.04375,0.22,bom
0.46146,0.832115,0.82,0.70625,0.51,bom
0.78578,0.53168,0.283,0.30416666666667,0.37,ruim
0.2579,0.580855,0.439,0.054166666666667,0.32,ruim
0.12442,0.020185,0.726,0.085416666666667,0.66,bom
0.31914,0.593435,0.762,0.14166666666667,0.63,bom
0.53868,0.447465,0.385,0.23333333333333,0.49,bom
0.89984,0.09317,0.942,0.020833333333333,0.2,bom
0.45884,0.55837,0.738,0.05,0.22,bom
0.7436,1,0.577,0.95625,0.7,bom
0.59244,0.546975,0.335,0.020833333333333,0.28,ruim
0.6111,1,0.863,0.10625,0.25,ruim
0.37234,0.29396,0.305,0.4625,0.47,bom
0.43764,1,0.169,0.11666666666667,0.26,ruim
0.73512,0.226325,0.698,0.4375,0.49,bom
0.04976,0.08305,0.364,0.29166666666667,0.7,bom
0.8673,0.051035,0.588,0.19583333333333,0.49,bom
0.45796,0.31256,0.286,0,0.18,ruim
0.9779,1,0.194,0.01875,0.19,ruim
0.8045,1,0.928,0.6,0.45,bom
0.54932,1,0.392,0.070833333333333,0.34,ruim
0.96924,1,0.857,0.24791666666667,0.28,ruim
0.8771,0.84802,0.585,0.5875,0.45,bom
0.98734,1,0.6,0.11458333333333,0.45,ruim
0.70926,0.417425,0.26,0.025,0.22,ruim
0.37698,0.52112,0.243,0.12916666666667,0.54,ruim
0.79376,1,0.307,0.44166666666667,0.36,ruim
0.18776,0.33271,0.919,0.46041666666667,0.37,bom
0.7625,0.1419,0.634,0.20208333333333,0.27,bom
0.0485,0.06652,0.3,0.88958333333333,0.66,bom
0.61716,0.379955,0.279,0.0041666666666667,0.2,ruim
0.81826,1,0.48,0.041666666666667,0.29,ruim
0.17638,0.215895,0.682,0.49375,0.68,bom
0.05422,0.049655,0.503,0.15208333333333,0.41,bom
0.63608,1,0.724,0.020833333333333,0.23,ruim
0.62356,0.97575,0.809,0.14166666666667,0.7,ruim
0.1916,0.164595,0.282,0.15625,0.54,ruim
0.60784,0.396995,0.408,0.88541666666667,0.59,bom
0.94876,1,0.365,0.46041666666667,0.55,ruim
0.34138,0.6252,0.8,0.27708333333333,0.3,bom
0.375,0.418055,0.107,0.82708333333333,0.61,bom
0.55288,1,0.371,0.12916666666667,0.27,ruim
0.33136,0.31194,0.898,0.21666666666667,0.38,bom
0.92012,1,0.48,0.175,0.38,ruim
0.52272,1,0.808,0.035416666666667,0.24,ruim
0.44178,0.731505,0.113,0.44791666666667,0.38,ruim
0.68128,0.065455,0.987,0.25625,0.29,bom
0.05152,0.124045,0.897,0.0020833333333333,0.19,bom
0.93444,0.70186,0.271,0.070833333333333,0.33,ruim
0.35156,0.619945,0.876,0.075,0.35,bom
0.9495,1,0.635,0.13125,0.36,ruim
0.85882,1,0.939,0.1625,0.3,ruim
0.31928,0.257835,0.858,0.0375,0.23,bom
0.95122,1,0.854,0.34375,0.51,ruim
0.38592,0.27189,0.272,0.18541666666667,0.69,ruim
0.8249,0.95291,0.571,0.69791666666667,0.51,bom
0.6567,0.244175,0.467,0.44375,0.53,bom
0.8424,0.606165,0.175,0.29791666666667,0.35,ruim
0.09024,0.108185,0.659,0.060416666666667,0.27,bom
0.1582,0.15962,0.456,0.2875,0.48,bom
0.89834,1,0.919,0.27083333333333,0.58,ruim
0.74822,0.264905,0.77,0,0.18,bom
0.36094,0.671345,0.129,0.38541666666667,0.63,ruim
0.5475,1,0.104,0.00625,0.22,ruim
0.39484,0.425125,0.944,0.01875,0.23,bom
0.88416,1,0.108,0.625,0.61,ruim
0.27074,0.60523,0.942,0.3875,0.66,bom
0.99136,1,0.36,0.025,0.36,ruim
0.45046,1,0.417,0.28541666666667,0.3,ruim
0.08726,0.041495,0.634,0,0.18,bom
0.96752,1,0.958,0.83958333333333,0.58,bom
0.81164,1,0.301,0.0125,0.21,ruim
0.59764,0.693525,0.555,0.097916666666667,0.31,ruim
0.03462,0.002475,0.799,0.14791666666667,0.51,bom
0.24386,0.15116,0.966,0.025,0.5,bom
0.34538,0.348785,0.526,0.50833333333333,0.46,bom
0.20692,0.46349,0.624,0.7125,0.69,bom
0.2517,0.361855,0.229,0.17083333333333,0.39,ruim
0.4501,1,0.419,0.091666666666667,0.4,ruim
0.47634,0.083835,0.176,0.7625,0.7,bom
0.59816,0.888455,0.877,0.0125,0.2,bom
0.74464,1,0.303,0.079166666666667,0.53,ruim
0.03404,0.035005,0.58,0.65833333333333,0.67,bom
0.3885,0.87844,0.279,0.16875,0.56,ruim
0.2033,0.32973,0.239,0.23541666666667,0.52,ruim
0.51978,1,0.407,0.10625,0.4,ruim
0.22836,0.521185,0.376,0.43541666666667,0.54,ruim
0.49306,0.42369,0.64,0.39791666666667,0.48,bom
0.42478,0.4989,0.928,0.23125,0.35,bom
0.66294,0.76443,0.566,0.014583333333333,0.46,ruim
0.2404,0.14063,0.674,0.047916666666667,0.22,bom
0.33008,0.18857,0.296,0.00625,0.25,ruim
0.72636,0.299905,0.933,0.83333333333333,0.56,bom
0.95304,1,0.537,0.2375,0.31,ruim
0.18028,0.320475,0.529,0.17708333333333,0.34,bom
0.66972,0.27955,0.232,0.59583333333333,0.42,bom
0.3377,0.35637,0.759,0.15416666666667,0.43,bom
0.90464,0.959835,0.148,0.20625,0.38,ruim
0.092,0.21591,0.582,0.42708333333333,0.55,bom
0.49292,0.81976,0.729,0.20208333333333,0.66,bom
0.30714,0.06609,0.72,0.89791666666667,0.69,bom
0.18744,0.01975,0.684,0.58958333333333,0.42,bom
0.7359,1,0.878,0.13333333333333,0.65,ruim
0.54126,0.950445,0.318,0.52291666666667,0.41,ruim
0.51112,1,0.988,0.16666666666667,0.29,ruim
0.99478,0.853655,0.206,0.60208333333333,0.69,bom
0.61162,0.286015,0.607,0.25,0.38,bom
0.78504,0.912025,0.677,0.033333333333333,0.59,ruim
0.91142,1,0.613,0.5125,0.42,ruim
0.99236,1,0.542,0.10833333333333,0.47,ruim
0.24754,0.057135,0.394,0.39791666666667,0.53,bom
0.77184,1,0.527,0.27291666666667,0.39,ruim
0.296,0.204745,0.108,0.575,0.61,bom
0.76182,0.599465,0.152,0.575,0.41,bom
0.17058,0.36763,0.944,0.03125,0.27,bom
0.224,0.355115,0.823,0.82916666666667,0.66,bom
0.29696,0.03534,0.78,0.7375,0.68,bom
0.86696,0.50971,0.209,0.21041666666667,0.7,ruim
0.2114,0.34218,0.632,0.095833333333333,0.22,bom
0.99722,0.228765,0.146,0.18125,0.57,bom
0.19202,0.178575,0.359,0.16666666666667,0.34,ruim
0.33716,0.414575,0.487,0.15625,0.25,bom
0.34018,0.01547,0.725,0.033333333333333,0.53,bom
0.47144,0.87761,0.99,0.27916666666667,0.52,bom
0.78252,1,0.358,0.072916666666667,0.23,ruim
0.76906,1,0.234,0.11875,0.65,ruim
0.09626,0.183165,0.859,0.78125,0.58,bom
0.6033,1,0.412,0.070833333333333,0.25,ruim
0.78902,1,0.676,0.060416666666667,0.25,ruim
0.20008,0.42069,0.744,0.425,0.4,bom
0.16446,0.24281,0.252,0.16666666666667,0.3,ruim
0.5699,1,0.168,0.072916666666667,0.44,ruim
0.28598,0.24173,0.53,0.045833333333333,0.22,bom
0.2991,0.020795,0.191,0.20416666666667,0.29,bom
0.87464,0.36086,0.449,0.93541666666667,0.69,bom
0.14782,0.23639,0.257,0.37708333333333,0.48,bom
0.40754,0.14349,0.158,0.31875,0.47,bom
0.31468,0.458235,0.457,0.12083333333333,0.26,ruim
0.3101,0.60262,0.269,0.25625,0.7,ruim
0.2194,0.181595,0.557,0.066666666666667,0.27,bom
0.31546,0.631045,0.343,0.6375,0.65,bom
0.39122,0.864,0.291,0.21875,0.4,ruim
0.19154,0.468225,0.853,0.13125,0.28,bom
0.27642,0.625295,0.756,0.010416666666667,0.29,bom
0.28518,0.678045,0.337,0.49791666666667,0.5,ruim
0.14808,0.350095,0.375,0.13125,0.32,ruim
0.4922,0.059765,0.532,0.79791666666667,0.6,bom
0.93272,1,0.378,0.0375,0.2,ruim
0.31474,0.01708,0.74,0.1375,0.28,bom
0.25592,0.5797,0.827,0.0083333333333333,0.21,bom
0.7799,1,0.288,0.92291666666667,0.55,ruim
0.90522,0.708505,0.386,0,0.18,ruim
0.76242,1,0.526,0.27083333333333,0.45,ruim
0.40562,0.403045,0.335,0.40625,0.68,bom
0.30922,0.544855,0.969,0.31041666666667,0.38,bom
0.2998,0.152495,0.547,0.32708333333333,0.66,bom
0.75084,1,0.295,0.64375,0.69,ruim
0.48116,0.10864,0.252,0.079166666666667,0.24,bom
0.49882,0.78955,0.184,0.93958333333333,0.67,bom
0.75212,1,0.806,0.38541666666667,0.66,ruim
0.50538,0.869005,0.484,0.40208333333333,0.56,ruim
0.0849,0.024205,0.468,0.94166666666667,0.63,bom
0.96674,0.82186,0.671,0.097916666666667,0.42,bom
0.79004,0.41728,0.329,0.7625,0.51,bom
0.68178,0.373155,0.703,0.47083333333333,0.63,bom
0.86946,1,0.518,0.03125,0.35,ruim
0.5642,1,0.439,0.17083333333333,0.25,ruim
0.3753,0.33037,0.995,0.11458333333333,0.56,bom
0.4555,0.66534,0.618,0.035416666666667,0.55,ruim
0.77014,1,0.543,0.0125,0.44,ruim
0.04374,0.096135,0.258,0.10833333333333,0.23,ruim
0.4739,0.007985,0.577,0.54583333333333,0.43,bom
0.63718,1,0.97,0.89791666666667,0.65,bom
0.50008,0.56894,0.879,0.18541666666667,0.26,bom
0.44936,0.965185,0.531,0.1,0.24,ruim
0.71464,1,0.886,0.30625,0.46,ruim
0.64838,0.723535,0.72,0.49791666666667,0.41,bom
0.82272,0.41187,0.235,0.045833333333333,0.29,ruim
0.80916,1,0.991,0.10625,0.64,ruim
0.95844,1,0.429,0.35,0.51,ruim
0.70138,1,0.329,0.73125,0.69,ruim
0.97448,0.335475,0.847,0.43958333333333,0.67,bom
0.0302,0.0278,0.801,0.92083333333333,0.65,bom
0.88686,0.323015,0.992,0.56041666666667,0.51,bom
0.05426,0.131445,0.517,0.05625,0.28,bom
0.84298,0.348675,0.336,0.022916666666667,0.19,ruim
0.87536,0.55509,0.773,0.25833333333333,0.49,bom
0.83048,1,0.885,0,0.18,ruim
0.43894,0.30427,0.346,0.066666666666667,0.24,ruim
0.92442,0.41092,0.667,0.2125,0.41,bom
0.88692,1,0.778,0.34791666666667,0.53,ruim
0.08456,0.20432,0.175,0.022916666666667,0.27,ruim
0.383,0.52392,0.566,0.0041666666666667,0.3,ruim
0.1261,0.018325,0.479,0,0.18,bom
0.92842,0.03622,0.577,0.48125,0.45,bom
0.66128,0.82889,0.558,0.041666666666667,0.39,ruim
0.39602,0.903635,0.705,0.15,0.3,ruim
0.0419,0.004345,0.489,0.66875,0.61,bom
0.31744,0.254815,0.574,0.24375,0.33,bom
0.95092,1,0.239,0.0375,0.2,ruim
0.106,0.248735,0.414,0.55,0.62,bom
0.2527,0.01326,0.45,0.51458333333333,0.5,bom
0.43152,0.200125,0.788,0.26041666666667,0.44,bom
0.15086,0.194635,0.307,0.54166666666667,0.63,bom
0.70902,0.050505,0.449,0.17916666666667,0.61,bom
0.75994,0.10739,0.604,0.63125,0.7,bom
0.65114,1,0.829,0.47708333333333,0.38,ruim
0.9857,0.277295,0.213,0.016666666666667,0.19,ruim
0.81746,0.39702,0.97,0.072916666666667,0.3,bom
0.98466,0.93586,0.321,0.0083333333333333,0.19,ruim
0.92116,1,0.631,0.20625,0.33,ruim
0.33022,0.538215,0.643,0.15416666666667,0.3,bom
0.59552,0.36117,0.112,0.01875,0.6,ruim
0.34192,0.654425,0.953,0.022916666666667,0.4,bom
0.38704,0.654765,0.12,0.72916666666667,0.49,ruim
0.06896,0.09068,0.827,0.23541666666667,0.3,bom
0.7318,1,0.451,0.20416666666667,0.48,ruim
0.37342,0.255375,0.161,0.44583333333333,0.47,bom
0.67354,1,0.729,0.47083333333333,0.61,bom
0.06794,0.049985,0.504,0.75208333333333,0.69,bom
0.49738,0.07559,0.47,0,0.18,bom
0.62666,0.583755,0.666,0.14375,0.4,bom
0.10738,0.112935,0.708,0.1375,0.3,bom
0.23114,0.554915,0.394,0.025,0.53,ruim
0.5969,1,0.882,0.083333333333333,0.33,ruim
0.15688,0.10624,0.615,0.025,0.29,bom
0.3978,0.767195,0.685,0.0125,0.19,ruim
0.75138,0.800195,0.43,0.60208333333333,0.6,bom
0.72588,1,0.862,0.43958333333333,0.55,ruim
0.41738,0.41798,0.262,0.11666666666667,0.35,ruim
0.51912,0.98021,0.984,0.16041666666667,0.29,bom
0.18728,0.210385,0.501,0.077083333333333,0.33,bom
0.14292,0.287295,0.707,0.31458333333333,0.68,bom
0.64042,0.47949,0.756,0.61041666666667,0.5,bom
0.60366,1,0.595,0.0083333333333333,0.19,ruim
0.1902,0.424185,0.12,0,0.7,ruim
0.3101,0.25176,0.292,0.66458333333333,0.49,bom
0.09962,0.01594,0.863,0.21458333333333,0.35,bom
0.28772,0.041895,0.222,0.35833333333333,0.65,bom
0.3878,0.852225,0.316,0.047916666666667,0.4,ruim
0.3407,0.730925,0.997,0.03125,0.24,bom
0.79518,0.91128,0.485,0.31875,0.47,ruim
0.8693,0.70615,0.149,0.48958333333333,0.46,ruim
0.73476,0.765665,0.268,0.0083333333333333,0.43,ruim
0.96182,1,0.549,0.15208333333333,0.26,ruim
0.0809,0.077555,0.879,0.41666666666667,0.41,bom
0.53908,0.22013,0.378,0.13958333333333,0.24,bom
0.13532,0.29725,0.543,0.058333333333333,0.22,ruim
0.45592,1,0.305,0.70208333333333,0.65,ruim
0.65498,1,0.707,0.38125,0.65,ruim
0.52712,0.677575,0.103,0.28958333333333,0.31,ruim
